Id,cross_id,tgraph_id
032965,"[r46611,r48423]|[r46566,r46610,r48424]",32965
028527,"[r40835,r40843,r46783]|[r40836,r40842,r46782]",28527
028540,[r40849]|[r41291],28540
028539,[r41290]|[r40848],28539
049807,[r77464]|[r71536],49807
049806,[r71535]|[r77463],49806
030096,[r45436]|[r42550],30096
030099,[r42551]|[r45437],30099
031067,[r43843]|[r45441],31067
031068,[r45442]|[r43844],31068
028586,[r43846]|[r40883],28586
030013,[r42449]|[],30013
031074,[r43854]|[r43853],31074
027888,"[r40263,r41317]|[r41316,r41671]",27888
030314,"[r42855,r46906]|[r42854,r42856]",30314
029078,"[r41333,r41334]|[r41360,r42853]",29078
032151,[r45468]|[r45467],32151
032150,[r45466]|[r45465],32150
028291,[r40617]|[r40619],28291
028290,[r40618]|[r40616],28290
027966,"[r40328,r40425]|[r40426]",27966
030357,[r42923]|[r42922],30357
030802,[r43526]|[r50144],30802
029886,"[r45269,r45451,r50147]|[r42274,r45452,r50146]",29886
030801,[r43525]|[r46912],30801
029379,"[r41687,r41690,r41693]|[r41688,r41689,r41692]",29379
027927,"[r40293,r41325]|[r40294,r41691]",27927
028530,"[r41685,r41688]|[r40838,r41686,r41687]",28530
027801,"[r40201,r40204]|[r40202,r40203,r41289]",27801
028069,"[r40427]|[r40424,r40425]",28069
034326,"[r48915,r48920]|[r48916,r48919]",34326
032144,[r45449]|[r45451],32144
032145,[r45452]|[r45450],32145
028504,"[r40815,r45265,r45268]|[r40814,r45266,r45267]",28504
027950,[r40316]|[r40318],27950
027949,[r40317]|[r40315],27949
028272,"[r40595,r40854,r45438]|[r40594,r40855,r45439]",28272
028273,[r40594]|[r40599],28273
032914,[r46524]|[r46526],32914
032911,[r46525]|[r46523],32911
022946,"[r32398,r36444]|[r32399,r36445]",22946
022934,"[r32391,r32402]|[r32385,r32390]",22934
022944,"[r32396,r32401]|[r32397,r36442]",22944
032908,[r46520]|[r46522],32908
032905,[r46521]|[r46519],32905
032887,[r46506]|[r46605],32887
032884,[r46604]|[r46505],32884
034319,[r48903]|[r48905],34319
034320,[r48906]|[r48904],34320
028535,"[r40844,r46785,r46878]|[r40845,r46784,r46877]",28535
027972,[r40549]|[r40334],27972
027971,[r40333]|[r40548],27971
034742,"[r49692,r49694]|[r49693]",34742
032967,"[r46569,r46570,r48424]|[r46568,r46571,r48423]",32967
033001,[r46610]|[r46783],33001
033002,[r46782]|[r46611],33002
028534,[r40845]|[r40843],28534
